date,marketCap,balanceSheetDate,shortTermDebt,longTermDebt,treasury_yield,bonds_index,equities_index
2021-12-29,233700648000,2021-10-20 17:49:33,7000000,23591000000,0.0038,533.66,466.3387145996094
2021-12-30,235053132000,2021-10-20 17:49:33,7000000,23591000000,0.0038,535.29,465.04949951171875
2021-12-31,235669863000,2021-10-20 17:49:33,7000000,23591000000,0.0039000000000000003,535.59,463.8774719238281
2022-01-03,226178888000,2021-10-20 17:49:33,7000000,23591000000,0.004,531.75,466.56329345703125
2022-01-04,220090338000,2021-10-20 17:49:33,7000000,23591000000,0.0038,530.51,466.40704345703125
2022-01-05,218686390000,2021-10-20 17:49:33,7000000,23591000000,0.0040999999999999995,529.35,457.4510192871094
2022-01-06,217697896000,2021-10-20 17:49:33,7000000,23591000000,0.0045000000000000005,528.39,457.0212707519531
2022-01-07,211788421000,2021-10-20 17:49:33,7000000,23591000000,0.0043,526.79,455.2144470214844
2022-01-10,217060388999,2021-10-20 17:49:33,7000000,23591000000,0.0046,526.08,454.64801025390625
2022-01-11,218707879000,2021-10-20 17:49:33,7000000,23591000000,0.0046,527.23,458.7890625
2022-01-12,219459994000,2021-10-20 17:49:33,7000000,23591000000,0.0048,527.01,460.0293884277344
2022-01-13,209195415000,2021-10-20 17:49:33,7000000,23591000000,0.004699999999999999,528.05,453.69085693359375
2022-01-14,210097953000,2021-10-20 17:49:33,7000000,23591000000,0.0051,524.43,453.8764343261719
2022-01-18,206580919999,2021-10-20 17:49:33,7000000,23591000000,0.0058,520.64,445.8384704589844
2022-01-19,205599588999,2021-10-20 17:49:33,7000000,23591000000,0.005699999999999999,521.96,441.2090759277344
2022-01-20,202684248000,2021-10-20 17:49:33,7000000,23591000000,0.006,522.47,436.3257141113281
2022-01-21,200886335000,2021-10-20 17:49:33,7000000,23591000000,0.0058,523.63,427.7604064941406
2022-01-24,198314818000,2021-10-20 17:49:33,7000000,23591000000,0.0058,521.76,429.57696533203125
2022-01-25,194260560000,2021-10-20 17:49:33,7000000,23591000000,0.006500000000000001,521.41,424.3322448730469
2022-01-26,191087351000,2021-10-20 17:49:33,7000000,23591000000,0.006999999999999999,519.2,423.2677001953125
2022-01-27,193379511000,2021-10-20 17:49:33,7000000,23591000000,0.0075,519.88,421.1776123046875
2022-01-28,201359093000,2021-10-20 17:49:33,7000000,23591000000,0.0075,518.94,431.6377258300781
2022-01-31,204711377000,2021-10-20 17:49:33,7000000,23591000000,0.0078000000000000005,518.87,439.4120178222656
2022-02-01,205785827000,2021-10-20 17:49:33,7000000,23591000000,0.0078000000000000005,519.05,442.381103515625
2022-02-02,210900209000,2021-10-20 17:49:33,7000000,23591000000,0.0076,520.42,446.6783752441406
2022-02-03,207662533000,2021-10-20 17:49:33,7000000,23591000000,0.0078000000000000005,517.66,436.1792297363281
2022-02-04,206029369000,2021-10-20 17:49:33,7000000,23591000000,0.0089,513.23,438.23028564453125
2022-02-07,204252944999,2021-10-20 17:49:33,7000000,23591000000,0.0088,513.31,436.8238830566406
2022-02-08,204589606000,2021-10-20 17:49:33,7000000,23591000000,0.0091,512.33,440.4179382324219
2022-02-09,209166763000,2021-10-20 17:49:33,7000000,23591000000,0.0091,513.24,446.864013671875
2022-02-10,202139860000,2021-10-20 17:49:33,7000000,23591000000,0.011399999999999999,508.64,438.8357849121094
2022-02-11,195306358000,2021-10-20 17:49:33,7000000,23591000000,0.010700000000000001,511.16,430.1824951171875
2022-02-14,194475450000,2021-10-20 17:49:33,7000000,23591000000,0.0113,507.68,428.77606201171875
2022-02-15,192734841000,2021-10-20 17:49:33,7000000,23591000000,0.0111,506.02,435.6908874511719
2022-02-16,191746347000,2021-10-20 17:49:33,7000000,23591000000,0.0109,506.01,436.1792297363281
2022-02-17,192878101000,2021-10-20 17:49:33,7000000,23591000000,0.0105,506.63,426.8618469238281
2022-02-18,191201959000,2021-10-20 17:49:33,7000000,23591000000,0.0103,507.12,424.097900390625
2022-02-22,190664734000,2021-10-20 17:49:33,7000000,23591000000,0.011699999999999999,506.66,419.546630859375
2022-02-23,187949957000,2021-10-20 17:49:33,7000000,23591000000,0.0116,503.97,412.10443115234375
2022-02-24,194518428000,2022-02-23 16:49:10,215000000,23057000000,0.0108,502.74,418.3062438964844
2022-02-25,200026775000,2022-02-23 16:49:10,215000000,23057000000,0.0113,504.68,427.5357360839844
2022-02-28,196559883000,2022-02-23 16:49:10,215000000,23057000000,0.0101,509.31,426.44183349609375
2022-03-01,194855088999,2022-02-23 16:49:10,215000000,23057000000,0.0091,512.38,419.9470520019531
2022-03-02,196624350000,2022-02-23 16:49:10,215000000,23057000000,0.0106,505.43,427.6725158691406
2022-03-03,198107091000,2022-02-23 16:49:10,215000000,23057000000,0.0108,507.33,425.5433349609375
2022-03-04,195220402000,2022-02-23 16:49:10,215000000,23057000000,0.0105,509.31,422.08599853515625
2022-03-07,188401226000,2022-02-23 16:49:10,215000000,23057000000,0.010700000000000001,505.24,409.6431579589844
2022-03-08,184282501000,2022-02-23 16:49:10,215000000,23057000000,0.011200000000000002,500.95,406.53741455078125
2022-03-09,189690566000,2022-02-23 16:49:10,215000000,23057000000,0.0115,499.93,417.43707275390625
2022-03-10,188981429000,2022-02-23 16:49:10,215000000,23057000000,0.011899999999999999,496.7,415.55206298828125
2022-03-11,188043076000,2022-02-23 16:49:10,215000000,23057000000,0.012199999999999999,496.22,410.2682800292969
2022-03-14,191144655000,2022-02-23 16:49:10,215000000,23057000000,0.0128,490.6,407.2699279785156
2022-03-15,194038507000,2022-02-23 16:49:10,215000000,23057000000,0.0128,490.71,416.2259521484375
2022-03-16,199074096000,2022-02-23 16:49:10,215000000,23057000000,0.013500000000000002,494.07,425.4554443359375
2022-03-17,201566819999,2022-02-23 16:49:10,215000000,23057000000,0.013000000000000001,496.07,430.77825927734375
2022-03-18,209295697000,2022-02-23 16:49:10,215000000,23057000000,0.0129,498.47,435.4964904785156
2022-03-21,207204101000,2022-02-23 16:49:10,215000000,23057000000,0.013999999999999999,494.38,435.369140625
2022-03-22,210520569999,2022-02-23 16:49:10,215000000,23057000000,0.0159,492.45,440.46356201171875
2022-03-23,204897615000,2022-02-23 16:49:10,215000000,23057000000,0.0152,495.95,434.7911071777344
2022-03-24,205241438999,2022-02-23 16:49:10,215000000,23057000000,0.0155,493.49,441.3453063964844
2022-03-25,205957738999,2022-02-23 16:49:10,215000000,23057000000,0.0167,490.5,443.50067138671875
2022-03-28,208779961000,2022-02-23 16:49:10,215000000,23057000000,0.0169,491.88,446.6553039550781
2022-03-29,211910191999,2022-02-23 16:49:10,215000000,23057000000,0.0167,495.2,452.1807861328125
2022-03-30,212998968000,2022-02-23 16:49:10,215000000,23057000000,0.016399999999999998,497.26,449.388671875
2022-03-31,210112279000,2022-02-23 16:49:10,215000000,23057000000,0.0163,497.67,442.47198486328125
2022-04-01,211971123000,2022-02-23 16:49:10,215000000,23057000000,0.0172,496.89,443.72601318359375
